Date,Open,High,Low,Close,Adj Close,Volume
2011-02-22,12.219643,12.335714,12.061429,12.093214,10.383431,872555600
2011-02-23,12.098929,12.308571,12.093214,12.236429,10.506398,671854400
2011-02-24,12.286429,12.326786,12.084643,12.245714,10.514369,499900800
2011-02-25,12.330714,12.443929,12.314286,12.434286,10.676283,380018800
2011-02-28,12.544286,12.680357,12.540000,12.614643,10.831141,403074000
2011-03-01,12.695357,12.704286,12.417143,12.475357,10.711546,456136800
2011-03-02,12.498571,12.655357,12.442857,12.575714,10.797714,602590800
2011-03-03,12.756786,12.849643,12.711429,12.841429,11.025861,500788400
2011-03-04,12.859643,12.867500,12.776786,12.857143,11.039356,453266800
2011-03-07,12.907143,12.916786,12.546786,12.691429,10.897070,546123200
2011-03-08,12.675357,12.764286,12.580357,12.705714,10.909334,356316800
2011-03-09,12.667500,12.670000,12.521429,12.588214,10.808443,453306000
2011-03-10,12.468571,12.491786,12.317857,12.381071,10.630592,507539200
2011-03-11,12.333214,12.582857,12.321429,12.571071,10.793727,471080400
2011-03-14,12.613571,12.731429,12.546786,12.627143,10.841873,435957200
2011-03-15,12.217857,12.422857,12.146429,12.336786,10.592567,721081200
2011-03-16,12.214286,12.250000,11.652143,11.786071,10.119713,1162011200
2011-03-17,12.029643,12.128929,11.809286,11.951429,10.261693,659422400
2011-03-18,12.040357,12.078571,11.785714,11.809643,10.139953,753214000
2011-03-21,11.999643,12.133571,11.973571,12.117857,10.404592,409402000
2011-03-22,12.234286,12.236429,12.112143,12.185714,10.462855,325922800
2011-03-23,12.117143,12.150714,11.998214,12.113929,10.401216,372996400
2011-03-24,12.208929,12.357143,12.102143,12.320357,10.578463,404712000
2011-03-25,12.431071,12.573571,12.393571,12.555000,10.779930,448910000
2011-03-28,12.612500,12.654286,12.515714,12.515714,10.746200,309355200
2011-03-29,12.416429,12.534286,12.359286,12.534286,10.762145,352900800
2011-03-30,12.522857,12.531429,12.408571,12.451071,10.690693,329406000
2011-03-31,12.370000,12.492857,12.359286,12.446786,10.687015,274019200
2011-04-01,12.539643,12.556786,12.260714,12.305714,10.565882,418661600
2011-04-04,12.296786,12.307143,12.085714,12.185357,10.462546,460084800
2011-04-05,12.035357,12.223214,12.000000,12.103214,10.392022,482731200
